id_caso,código_dane_de_municipio,municipio,departamento,año,mes,día,id_persona,sexo,etnia,ocupación,caletera,campanera,cocinera,comandante,combatiente,contabilidad,entrenamiento,escolta,extorsiones,fabricación_de_otras_armas_no_convencionales,fabricación_y/o_siembra_de_minas_antipersonal,guardia,informante,patrullera,radio_operaciones,raspachín,servicios_de_salud,sicariato,trabajo_organizativo,tráfico_de_estupefacientes,transporte_de_armas,sin_información_de_oficios_realizados,otro_oficio_realizado,edad,latitud,longitud,fecha
313775,13670,SAN PABLO,BOLIVAR,2002,11,6,355207,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2002-11-06
313776,13670,SAN PABLO,BOLIVAR,2003,6,11,355208,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2003-06-11
313777,13670,SAN PABLO,BOLIVAR,2004,5,1,355209,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2004-05-01
313778,13670,SAN PABLO,BOLIVAR,2006,1,1,355210,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2006-01-01
313779,13670,SAN PABLO,BOLIVAR,2006,6,9,355211,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2006-06-09
313780,13670,SAN PABLO,BOLIVAR,2007,4,25,355212,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2007-04-25
313781,13670,SAN PABLO,BOLIVAR,2007,8,21,355213,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2007-08-21
313782,13670,SAN PABLO,BOLIVAR,2008,1,1,355214,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2008-01-01
313783,13670,SAN PABLO,BOLIVAR,2008,1,22,355215,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2008-01-22
313784,13670,SAN PABLO,BOLIVAR,2009,2,2,355216,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2009-02-02
313785,13670,SAN PABLO,BOLIVAR,2009,2,24,355217,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2009-02-24
313786,13670,SAN PABLO,BOLIVAR,2014,7,0,355218,MUJER,,ESTUDIANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2014-07-01
313802,13670,SAN PABLO,BOLIVAR,2014,4,14,355234,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2014-04-14
313803,13670,SAN PABLO,BOLIVAR,2014,7,28,355235,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PRIMERA INFANCIA (0-5 AÑOS),7.507922612,-74.103569774,2014-07-28
313804,13670,SAN PABLO,BOLIVAR,2014,12,15,355236,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2014-12-15
313805,13670,SAN PABLO,BOLIVAR,2014,11,25,355237,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2014-11-25
313806,13670,SAN PABLO,BOLIVAR,2015,5,25,355238,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2015-05-25
313830,13670,SAN PABLO,BOLIVAR,2012,5,1,355262,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2012-05-01
313842,13657,SAN JUAN NEPOMUCENO,BOLIVAR,2007,4,30,355274,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),9.967957823,-75.065719587,2007-04-30
313848,13654,SAN JACINTO,BOLIVAR,1988,4,15,355280,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),9.835362011,-75.106092009,1988-04-15
313850,13654,SAN JACINTO,BOLIVAR,2004,10,25,355282,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),9.835362011,-75.106092009,2004-10-25
313851,13654,SAN JACINTO,BOLIVAR,2005,2,8,355283,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),9.835362011,-75.106092009,2005-02-08
313859,13600,RIO VIEJO,BOLIVAR,2002,10,0,355291,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.559982465,-73.902986677,2002-10-01
313860,13600,RIO VIEJO,BOLIVAR,2004,2,14,355292,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.559982465,-73.902986677,2004-02-14
